size,N,iterations,global,computational_global,communication_global, init_global, t_io
1,10000,100,1.368886,0.513799,0.000114,0.047761,0.807212
2,10000,100,1.600917,0.343828,0.061282,0.055940,1.139866
4,10000,100,0.939261,0.166400,0.077064,0.045036,0.650007
8,10000,100,1.332808,0.111065,0.097024,0.048363,1.075664
16,10000,100,1.543950,0.121163,0.161477,0.099494,1.161654
1,10000,10,2.958774,0.848532,0.000004,0.958980,1.151258
8,10000,100,3.379598,0.881288,0.000033,0.203759,2.292384
16,10000,100,4.144810,0.945567,0.000015,0.205702,2.971288
4,10000,100,5.126563,1.343299,0.000028,0.286134,3.493386
1,10000,100,8.077418,4.857766,0.000037,0.751599,2.468016
1,10000,100,10.740452,8.352119,0.000037,1.003562,1.384735
1,10000,100,10.213973,8.354159,0.000038,1.005356,0.854420
2,10000,100,5.050234,2.700190,0.000026,0.443539,1.902367
1,10000,100,10.553219,8.407342,0.000049,0.928071,1.217756

8,10000,100,5.527234,2.501663,0.000031,0.214376,2.786593
4,10000,100,4.593615,2.624363,0.000028,0.262795,1.690566
2,10000,100,7.089354,4.292967,0.000032,0.422226,2.321086
1,10000,100,8.217367,4.956421,0.000029,0.739526,2.521391
16,10000,100,4.671863,1.871063,0.000011,0.195376,2.567061
4,10000,100,3.534800,1.202417,0.000029,0.281456,2.049634
2,10000,100,4.721700,2.576538,0.000049,0.434356,1.689593
1,10000,100,7.275776,4.895721,0.000034,0.723874,1.656148
16,10000,100,7.195867,4.733663,0.000007,0.196867,2.261300
8,10000,100,8.835538,6.852285,0.000025,0.232603,1.743041
1,10000,100,7.383212,4.792875,0.000036,0.721277,1.869024
8,10000,100,3.123657,1.070823,0.000021,0.206685,1.845435
4,10000,100,3.941603,1.250163,0.000032,0.262764,2.425462
2,10000,100,4.865319,2.700075,0.000043,0.409688,1.740669
16,10000,100,51.696792,49.445307,0.000009,0.187470,2.051307
1,60,100,0.106083,0.000928,0.000002,0.069091,0.036062
1,60,1,0.203163,0.000041,0.000000,0.062886,0.140236
1,60,1,0.077196,0.000072,0.000000,0.064076,0.013047
1,60,2000,0.093952,0.015753,0.000048,0.065545,0.012605
1,60,2000,0.097169,0.015339,0.000048,0.067290,0.014492
1,60,2000,0.106581,0.015170,0.000048,0.077360,0.014002
1,10000,100,7.655973,4.786076,0.000045,0.745781,2.124071
1,10000,100,5.876218,4.707788,0.000139,0.745781,0.422511
4,10000,100,2.644751,1.707183,0.000030,0.266482,0.670141
4,10000,100,2.401362,1.196717,0.275184,0.266482,0.662979
4,20000,100,9.529568,6.463653,0.000033,0.823684,2.238472
4,20000,100,9.019061,5.201901,1.170107,0.823684,1.823369
4,60,2000,1.924542,1.587571,0.000052,0.104258,0.232577
4,60,2000,0.129356,0.008137,0.008465,0.104258,0.008497
4,60,2000,0.530448,0.205365,0.000049,0.103174,0.220198
4,60,2000,0.128093,0.007034,0.007994,0.103174,0.009891
4,60,2000,1.884607,1.491465,0.000049,0.128635,0.264372
4,60,2000,0.156637,0.007233,0.010750,0.128635,0.009947
4,60,2000,0.663274,0.343039,0.000054,0.103000,0.217181
4,60,2000,0.130152,0.007978,0.008439,0.103000,0.010660
4,60,2000,2.022876,1.566378,0.000053,0.121998,0.333780
4,60,2000,0.153747,0.009914,0.010584,0.121998,0.011182
4,60,2000,1.069830,0.703267,0.000049,0.124933,0.241581
4,60,2000,0.152724,0.007951,0.009620,0.124933,0.010144
4,60,2000,1.903023,1.744175,0.028695,0.111525,0.018562
4,60,2000,2.244106,1.794123,0.000054,0.105828,0.344101
4,60,2000,5.484791,4.948786,0.000049,0.107393,0.428562
4,60,2000,2.063123,1.342884,0.000052,0.103422,0.616765
4,60,2000,1.638436,1.321265,0.000049,0.128170,0.188880
4,60,2000,0.205751,0.025593,0.000048,0.124172,0.055938
4,60,2000,0.131977,0.010480,0.000048,0.101342,0.020107
4,60,2000,0.174687,0.024195,0.028052,0.099970,0.022409
4,60,2000,0.202932,0.016313,0.041385,0.128900,0.016334
4,60,2000,0.175906,0.027253,0.029251,0.102672,0.016637
4,60,2000,0.965061,0.668404,0.000049,0.108127,0.188481
4,60,2000,0.861537,0.517154,0.000049,0.097125,0.236374
4,60,2000,0.175394,0.025852,0.024647,0.109775,0.015051
4,60,2000,3.001022,2.631868,0.000049,0.125277,0.243828
4,60,1,0.704572,0.046078,0.000000,0.102419,0.555999
4,10,1,0.471752,0.112191,0.000000,0.110639,0.248922
4,10,1,0.419290,0.069382,0.000000,0.099988,0.249921
