type,n_proc,n_thread,N,global,computation,communication,init
0,16,112,40000,1172.657194,1150.774643,166.275537,0.094599
0,16,112,10000,3.814142,2.999711,0.994564,0.038333
0,8,112,10000,7.925460,6.832001,1.227741,0.039517
0,4,112,10000,15.807492,15.138733,0.926760,0.040031
0,16,112,10000,4.163516,3.199410,1.377826,0.037006
0,2,112,10000,33.411814,32.906241,0.701532,0.064841
0,8,112,10000,7.767396,6.801825,1.035551,0.047573
0,4,112,10000,15.764357,15.046695,0.849961,0.042107
0,2,112,10000,32.705229,32.235761,0.426921,0.052524
0,1,112,10000,71.533643,70.988600,0.461385,0.059806
0,1,112,10000,68.866065,68.351424,0.441360,0.052581
0,16,112,40000,1196.102957,1168.057643,139.447820,0.085846
0,16,112,10000,4.667347,4.318609,1.849258,0.050616
0,8,112,10000,8.105594,7.344441,1.477316,0.125820
0,4,112,10000,15.369977,15.008095,0.464183,0.059876
0,2,112,10000,34.629541,34.221503,0.355095,0.053586
0,1,112,10000,70.385127,70.316136,0.000000,0.068982
0,16,112,10000,3.362935,3.055483,0.571864,0.105070
0,8,112,10000,7.964130,7.129371,1.238089,0.109588
0,4,112,10000,15.737991,15.253138,0.836922,0.086841
0,2,112,10000,33.814059,33.471875,0.808948,0.057551
0,1,112,10000,71.880350,71.806363,0.000000,0.073978
0,16,112,10000,3.431075,3.110653,0.645133,0.048602
0,8,112,10000,7.267606,6.800201,0.680485,0.053281
0,4,112,10000,15.434422,15.102115,0.474651,0.056456
0,2,112,10000,33.548723,33.207681,0.688153,0.058522
0,1,112,10000,69.947693,69.867593,0.000001,0.080089
0,16,112,10000,3.646232,3.236434,0.901078,0.048942
0,8,112,10000,7.463515,7.016654,0.834667,0.054711
0,4,112,10000,15.517571,15.217317,0.586637,0.041076
0,2,112,10000,33.674777,33.313661,0.316195,0.082211
0,1,112,10000,69.881042,69.828049,0.000000,0.052980
